X,Y,Z,dip,azimuth,formation,polarity
1104845.655,1282709.133,668.6451651,86.1342,170.9491,fault1,1
1105317.46,1282830.645,738.465,86.1342,170.9491,fault1,1
1104985.799,1282463.312,720.46156,73.4321,10.9819,fault2,1
1104489.161,1282604.15,765.064,73.0615,20.0651,fault2,1
1105276.911,1282439,800.466,75.64,7.064,fault2,1
1104944.055,1283064.065,668.605,81.4321,65.1131,fault3,1
1105157.64,1282624.6,750.605,80.06,63.64,fault3,1
1105247.191,1282402.025,800.025,78.64,64.605,fault3,1
1104452.605,1283095.605,710.9789871,78.2344,105.1128,fault4,1
1104406.64,1282872.065,730.56,78.2344,98.065,fault4,1
1104389.195,1282601.046,770.065,77.065,92.065,fault4,1
1104375.6,1282563.65,772.65,75.057,85.078,fault4,1
1105185.605,1283090.654,650.46,83.64,25.6105,fault5,1
1105115.559,1282584.559,650.0111,7.1324,285.414231,QbO1,1
1104776.646,1282770.312,679.765,5.1798,290.41234,QbO2,1
1104872.539,1282566.539,679.765,10.1854,280.431324,Qd,1
1104724,1282234.065,772.0111,12.64,285.414231,QbO1,1
1104724,1282234.065,720.0111,8.056,290.41234,QbO2,1
1104724,1282234.065,668.0111,15.605,280.431324,Qd,1
