X,Y,Z,formation,smooth,sondeo
1104571.624,1282546.624,688.0111,Qd,1.00E-08,s1
1104571.388,1282546.388,670.0111,QbO2,1.00E-08,s1
1104571.526,1282546.526,630.0111,QbO1,1.00E-08,s1
1104571.212,1282546.212,600.0111,fm_bocas,1.00E-08,s1
1104872.539,1282566.539,720.0111,Qd,1.00E-08,s2
1104872.368,1282566.368,692.0111,QbO2,1.00E-08,s2
1104872.596,1282566.596,638.0111,QbO1,1.00E-08,s2
1104872.547,1282566.547,618.0111,fm_tiburon,1.00E-08,s2
1104776.307,1282770.307,728.0111,Qd,1.00E-08,s3
1104776.836,1282770.836,698.0111,QbO2,1.00E-08,s3
1104776.62,1282770.62,654.0111,QbO1,1.00E-08,s3
1104776.792,1282770.792,634.0111,fm_tiburon,1.00E-08,s3
1105045.357,1282666.357,700.0111,Qd,1.00E-08,s4
1105045.639,1282666.639,674.0111,QbO2,1.00E-08,s4
1105045.684,1282666.684,637.0111,QbO1,1.00E-08,s4
1105045.029,1282666.029,617.0111,fm_tiburon,1.00E-08,s4
1105115.605,1282584.605,728.0111,Qd,1.00E-08,s5
1105115.701,1282584.701,698.0111,QbO2,1.00E-08,s5
1105115.559,1282584.559,654.0111,QbO1,1.00E-08,s5
1105115.643,1282584.643,634.0111,fm_tiburon,1.00E-08,s5
1104979.951,1282333.951,753.0111,Qd,1.00E-08,s6
1104979.001,1282333.001,703.0111,QbO2,1.00E-08,s6
1104979.412,1282333.412,662.0111,QbO1,1.00E-08,s6
1104979.479,1282333.479,630.0111,fm_bocas,1.00E-08,s6
1105312.289,1282410.289,781.0111,Qd,1.00E-08,s7
1105312.791,1282410.791,731.0111,QbO2,1.00E-08,s7
1105312.33,1282410.33,700.0111,QbO1,1.00E-08,s7
1105312.33,1282410.33,670.0111,fm_bocas,1.00E-08,s7
1105312.01,1282410.01,650.0111,fm_diamante,1.00E-08,s7
1104921.693,1282228.307,780.0111,Qd,1.00E-08,s1g
1104921.693,1282228.307,730.0111,QbO2,1.00E-08,s1g
1104921.693,1282228.307,695.0111,QbO1,1.00E-08,s1g
1104921.693,1282228.307,665.0111,fm_bocas,1.00E-08,s1g
1104921.693,1282228.307,645.0111,fm_diamante,1.00E-08,s1g
1104989.317,1282186.09,788.0111,Qd,1.00E-08,s2g
