X,Y,Z,formation,smooth,sondeo,id
1104571.624,1282546.624,688.0111,Qd,1.00E-08,s1,1
1104571.388,1282546.388,670.0111,QbO2,1.00E-08,s1,2
1104571.526,1282546.526,630.0111,QbO1,1.00E-08,s1,3
1104872.539,1282566.539,720.0111,Qd,1.00E-08,s2,4
1104872.368,1282566.368,692.0111,QbO2,1.00E-08,s2,5
1104872.596,1282566.596,638.0111,QbO1,1.00E-08,s2,6
1104776.307,1282770.307,728.0111,Qd,1.00E-08,s3,7
1104776.836,1282770.836,698.0111,QbO2,1.00E-08,s3,8
1104776.62,1282770.62,654.0111,QbO1,1.00E-08,s3,9
1105045.357,1282666.357,700.0111,Qd,1.00E-08,s4,10
1105045.639,1282666.639,674.0111,QbO2,1.00E-08,s4,11
1105045.684,1282666.684,637.0111,QbO1,1.00E-08,s4,12
1105115.605,1282584.605,728.0111,Qd,1.00E-08,s5,13
1105115.701,1282584.701,698.0111,QbO2,1.00E-08,s5,14
1105115.559,1282584.559,654.0111,QbO1,1.00E-08,s5,15
1104979.951,1282333.951,753.0111,Qd,1.00E-08,s6,16
1104979.001,1282333.001,703.0111,QbO2,1.00E-08,s6,17
1104979.412,1282333.412,662.0111,QbO1,1.00E-08,s6,18
1105312.289,1282410.289,781.0111,Qd,1.00E-08,s7,19
1105312.791,1282410.791,754.0111,QbO2,1.00E-08,s7,20
1105312.33,1282410.33,720.0111,QbO1,1.00E-08,s7,21
1104921.693,1282228.307,780.0111,Qd,1.00E-08,s1g,22
1104921.693,1282228.307,730.0111,QbO2,1.00E-08,s1g,23
1104921.693,1282228.307,695.0111,QbO1,1.00E-08,s1g,24
1104989.317,1282186.09,788.0111,Qd,1.00E-08,s2g,25
1104989.317,1282186.09,738.0111,QbO2,1.00E-08,s2g,26
1104989.317,1282186.09,703.0111,QbO1,1.00E-08,s2g,27
1105045.242,1282166.468,789.0111,Qd,1.00E-08,s3g,28
1105045.242,1282166.468,738.0111,QbO2,1.00E-08,s3g,29
1105045.242,1282166.468,703.0111,QbO1,1.00E-08,s3g,30
1105086.42,1282152.303,792.0111,Qd,1.00E-08,s4g,31
1105086.42,1282152.303,742.0111,QbO2,1.00E-08,s4g,32
1105086.42,1282152.303,707.0111,QbO1,1.00E-08,s4g,33
1105147.286,1282250.109,798.0111,Qd,1.00E-08,s5g,34
1105147.286,1282250.109,748.0111,QbO2,1.00E-08,s5g,35
1105147.286,1282250.109,713.0111,QbO1,1.00E-08,s5g,36
1105312.696,1282283.341,811.0111,Qd,1.00E-08,s6g,37
1105312.696,1282283.341,754.0111,QbO2,1.00E-08,s6g,38
1105312.696,1282283.341,719.0111,QbO1,1.00E-08,s6g,39
1105045.865,1283042.65,684.0111,Qd,1.00E-08,ip1,40
1105045.865,1283042.65,665.0111,QbO2,1.00E-08,ip1,41
1105045.865,1283042.65,632.0111,QbO1,1.00E-08,ip1,42
1105263.705,1282913.065,695.0111,Qd,1.00E-08,ip2,43
1105263.705,1282913.065,670.0111,QbO2,1.00E-08,ip2,44
1105263.705,1282913.065,632.0111,QbO1,1.00E-08,ip2,45
1104568.065,1282941.011,683.0111,Qd,1.00E-08,ip3,46
1104568.065,1282941.011,665.0111,QbO2,1.00E-08,ip3,47
1104568.065,1282941.011,625.0111,QbO1,1.00E-08,ip3,48
1104809.065,1282998.065,679.0111,Qd,1.00E-08,ip4,49
1104809.065,1282998.065,660.0111,QbO2,1.00E-08,ip4,50
1104809.065,1282998.065,648.0111,QbO1,1.00E-08,ip4,51
1104525.2,1282198.2,773.0111,Qd,1.00E-08,ip5,52
1104525.2,1282198.2,723.0111,QbO2,1.00E-08,ip5,53
1104525.2,1282198.2,682.0111,QbO1,1.00E-08,ip5,54
1105260.8,1283052.1,685.0111,Qd,1.00E-08,ip6,55
1105260.8,1283052.1,670.0111,QbO2,1.00E-08,ip6,56
1105260.8,1283052.1,632.0111,QbO1,1.00E-08,ip6,57
1104490.805,1283076.605,678.0111,Qd,1.00E-08,ip7,58
1104490.805,1283076.605,660.0111,QbO2,1.00E-08,ip7,59
1104490.805,1283076.605,620.0111,QbO1,1.00E-08,ip7,60
1104538.065,1282371.061,750.0111,Qd,1.00E-08,ip8,61
1104538.065,1282371.061,691.0111,QbO2,1.00E-08,ip8,62
1104538.065,1282371.061,645.0111,QbO1,1.00E-08,ip8,63
1104930.607,1282439.207,743.01111,Qd,1.00E-08,ip9,64
1104930.607,1282439.207,693.0111,QbO2,1.00E-08,ip9,65
1104930.607,1282439.207,652.0111,QbO1,1.00E-08,ip9,66
1104875.506,1282699.602,710.0111,Qd,1.00E-08,ip10,67
1104875.506,1282699.602,682.0111,QbO2,1.00E-08,ip10,68
1104875.506,1282699.602,645.0111,QbO1,1.00E-08,ip10,69
1104423,1282399,760.0111,Qd,1.00E-08,ipd1,70
1104423,1282399,701.0111,QbO2,1.00E-08,ipd1,71
1104423,1282399,655.0111,QbO1,1.00E-08,ipd1,72
1104578,1282303,762.0111,Qd,1.00E-08,ipd2,73
1104578,1282303,703.0111,QbO2,1.00E-08,ipd2,74
1104578,1282303,657.0111,QbO1,1.00E-08,ipd2,75
1104724,1282264,767.0111,Qd,1.00E-08,ipd3,76
1104724,1282264,712.0111,QbO2,1.00E-08,ipd3,77
1104724,1282264,674.0111,QbO1,1.00E-08,ipd3,78
1105046,1282255,775.0111,Qd,1.00E-08,ipd4,79
1105046,1282255,720.0111,QbO2,1.00E-08,ipd4,80
1105046,1282255,680.0111,QbO1,1.00E-08,ipd4,81
1105263,1282337,785.0111,Qd,1.00E-08,ipd5,82
1105263,1282337,730.0111,QbO2,1.00E-08,ipd5,83
1105263,1282337,680.0111,QbO1,1.00E-08,ipd5,84
1105321.011,1282553.011,760.0111,Qd,1.00E-08,ip11,85
1105321.011,1282553.011,725.0111,QbO2,1.00E-08,ip11,86
1105321.011,1282553.011,685.0111,QbO1,1.00E-08,ip11,87
1105309.011,1282704.011,735.011,Qd,1.00E-08,ip12,88
1105309.011,1282704.011,705.011,QbO2,1.00E-08,ip12,89
1105309.011,1282704.011,670.0111,QbO1,1.00E-08,ip12,90
1104399,1282589,771.0111,fault1,1.00E-08,fault,91
1104922,1282728,720.0111,fault1,1.00E-08,fault,92
1105317,1282830,740.0111,fault1,1.00E-08,fault,93
1104489,1282604,765.0111,fault2,1.00E-08,fault,94
1104808,1282491,750.0111,fault2,1.00E-08,fault,95
1105059,1282457,770.0111,fault2,1.00E-08,fault,96
1105276,1282439,800.0111,fault2,1.00E-08,fault,97
1104944,1283064,668.0111,fault3,1.00E-08,fault,98
1105099,1282780,727.0111,fault3,1.00E-08,fault,99
1105157,1282624,750.0111,fault3,1.00E-08,fault,100
1105247,1282402,800.0111,fault3,1.00E-08,fault,101
1105342,1282148,830.0111,fault3,1.00E-08,fault,102
1104452,1283095,710.0111,fault4,1.00E-08,fault,103
1104406,1282872,730.0111,fault4,1.00E-08,fault,104
1104389,1282601,770.0111,fault4,1.00E-08,fault,105
1104375,1282563,772.0111,fault4,1.00E-08,fault,106
1104416,1282240,810.0111,fault4,1.00E-08,fault,107
1104968,1283184,660.0111,fault5,1.00E-08,fault,108
1105185,1283090,650.0111,fault5,1.00E-08,fault,109
1105341,1283028,658.0111,fault5,1.00E-08,fault,110
